unix_timestamp,telecommand,norad_id,ground_station_lat,ground_station_lon
1742429828,1: com_ping 10,62171,31.7619,-106.485
1742436442,1: com_ping 10,62171,31.7619,-106.485
1742436866,1: com_ping 10,62171,31.7619,-106.485
1742436980,1: com_ping 10,62171,31.7619,-106.485
1742440066,1: com_ping 10,62171,31.7619,-106.485
1742443586,1: com_ping 10,62171,31.7619,-106.485
1742444191,1: com_ping 10,62171,31.7619,-106.485
1742444415,1: com_ping 10,62171,31.7619,-106.485
1742452538,1: com_ping 10,62171,31.7619,-106.485
1742452543,1: com_ping 10,62171,31.7619,-106.485
1742452935,1: com_ping 10,62171,31.7619,-106.485
1742454816,1: com_ping 10,62171,31.7619,-106.485
1742455380,1: com_ping 10,62171,31.7619,-106.485
1742456267,1: com_ping 10,62171,31.7619,-106.485
1742456822,1: com_ping 10,62171,31.7619,-106.485
1742459528,1: com_ping 10,62171,31.7619,-106.485
1742462988,1: com_ping 10,62171,31.7619,-106.485
1742463478,1: com_ping 10,62171,31.7619,-106.485
1742464172,1: com_ping 10,62171,31.7619,-106.485
1742471503,1: com_ping 10,62171,31.7619,-106.485
1742475036,1: com_ping 10,62171,31.7619,-106.485
1742479480,1: com_ping 10,62171,31.7619,-106.485
1742484800,1: com_ping 10,62171,31.7619,-106.485
1742487874,1: com_ping 10,62171,31.7619,-106.485
1742495961,1: com_ping 10,62171,31.7619,-106.485
1742498351,1: com_ping 10,62171,31.7619,-106.485
1742504386,1: com_ping 10,62171,31.7619,-106.485
1742507654,1: com_ping 10,62171,31.7619,-106.485
1742508868,1: com_ping 10,62171,31.7619,-106.485
1742512559,1: com_ping 10,62171,31.7619,-106.485
1742513353,1: com_ping 10,62171,31.7619,-106.485
1742513781,1: com_ping 10,62171,31.7619,-106.485
1742514977,1: com_ping 10,62171,31.7619,-106.485
1742515410,1: com_ping 10,62171,31.7619,-106.485
1742516663,1: com_ping 10,62171,31.7619,-106.485
1742521437,1: com_ping 10,62171,31.7619,-106.485
1742521856,1: com_ping 10,62171,31.7619,-106.485
1742524512,1: com_ping 10,62171,31.7619,-106.485
1742526982,1: com_ping 10,62171,31.7619,-106.485
1742530463,1: com_ping 10,62171,31.7619,-106.485
1742531910,1: com_ping 10,62171,31.7619,-106.485
1742539868,1: com_ping 10,62171,31.7619,-106.485
1742540626,1: com_ping 10,62171,31.7619,-106.485
1742547482,1: com_ping 10,62171,31.7619,-106.485
1742547730,1: com_ping 10,62171,31.7619,-106.485
1742560282,1: com_ping 10,62171,31.7619,-106.485
1742561309,1: com_ping 10,62171,31.7619,-106.485
1742562571,1: com_ping 10,62171,31.7619,-106.485
1742567445,1: com_ping 10,62171,31.7619,-106.485
1742568125,1: com_ping 10,62171,31.7619,-106.485
1742583872,1: com_ping 10,62171,31.7619,-106.485
1742584667,1: com_ping 10,62171,31.7619,-106.485
1742586819,1: com_ping 10,62171,31.7619,-106.485
1742594685,1: com_ping 10,62171,31.7619,-106.485
1742603390,1: com_ping 10,62171,31.7619,-106.485
1742609057,1: com_ping 10,62171,31.7619,-106.485
1742610910,1: com_ping 10,62171,31.7619,-106.485
1742611716,1: com_ping 10,62171,31.7619,-106.485
1742615523,1: com_ping 10,62171,31.7619,-106.485
1742623088,1: com_ping 10,62171,31.7619,-106.485
1742625707,1: com_ping 10,62171,31.7619,-106.485
1742628377,1: com_ping 10,62171,31.7619,-106.485
1742628826,1: com_ping 10,62171,31.7619,-106.485
